"","PlotID","ButtRichness","ButtAbundance","ButtN"
"1","01B",2,2,4
"2","01C",4,3.5,4
"3","02B",6,1.75,4
"4","02C",2,0.5,4
"5","03B",2,1,4
"6","03C",3,1.5,4
"7","04B",2,1,4
"8","04C",4,2.25,4
"9","05B",4,2.75,4
"10","05C",4,2.5,4
"11","06B",4,2.25,4
"12","06C",3,1.5,4
"13","07B",1,0.25,4
"14","07C",4,1.5,4
"15","08B",4,2.25,4
"16","08C",2,2.25,4
"17","09B",5,3.75,4
"18","09C",1,0.75,4
"19","10B",5,3.75,4
"20","10C",3,2.5,4
"21","11B",3,1.5,4
"22","11C",4,1.5,4
"23","12B",5,1.75,4
"24","12C",4,1,4
"25","13B",9,6.25,4
"26","13C",4,3.75,4
"27","14B",5,3,4
"28","14C",4,1.75,4
"29","16B",5,3.25,4
"30","16C",1,0.25,4
"31","17B",2,1,4
"32","17C",1,0.25,4
"33","18B",6,1.75,4
"34","18C",3,1,4
"35","20B",1,0.25,4
"36","20C",1,0.25,4
"37","21B",1,0.25,4
"38","21C",1,0.25,4
