"","PlotID","CollemboAbundance","CollemboRichness"
"1","01B",5,4
"2","01C",2,1
"3","02B",17,8
"4","02C",2,2
"5","03B",1,1
"6","03C",0,0
"7","04B",5,3
"8","04C",18,5
"9","05B",20,11
"10","05C",16,8
"11","06B",40,10
"12","06C",4,3
"13","07B",21,8
"14","08B",18,9
"15","08C",19,9
"16","09B",8,4
"17","09C",6,6
"18","10B",18,10
"19","10C",12,4
"20","11B",4,3
"21","11C",7,5
"22","12B",11,4
"23","12C",8,5
"24","13B",5,3
"25","13C",7,5
"26","14B",6,4
"27","14C",6,3
"28","15B",12,7
"29","16B",28,6
"30","16C",12,6
"31","17B",16,7
"32","17C",22,4
"33","18B",5,4
"34","18C",16,8
"35","20B",9,6
"36","20C",12,6
"37","21B",8,5
"38","21C",20,6
