"","PlotID","DecompokRate","DecompoSfactor","DecompokSampleSize","DecompoGTPercentMassRemaining","DecompoGTSampleSize","DecompoGTComment","DecompoRPercentMassRemaining","DecompoRSampleSize","DecompoRComment"
"1","01B",0.0174723343487724,0.293884603061331,12,40.5450835777641,12,"No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/Open/Roots/Open/Roots",70.7312603930816,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/Open/No issue"
"2","01C",0.0140239085981255,0.309038683543308,9,41.8210571543465,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",71.3686334958466,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/Roots/No issue/Roots"
"3","02B",0.0120886011184395,0.314051971272088,10,42.2431759811098,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/Roots/Roots",73.1619592483813,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"4","02C",0.0140478574974028,0.30162940207726,9,41.1971956549053,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",66.1537736690354,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"5","03B",0.0163606650477096,0.254188673880458,11,37.2026863407346,12,"No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/Open/Open/No issue/Roots",69.668962668321,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"6","03C",0.0133345326982481,0.27868078060022,11,39.2649217265386,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open",73.9675912284075,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"7","04B",0.00976484364701556,0.255462557139337,11,37.3099473111322,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/Roots/Roots/No issue",75.4827728893284,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/No issue"
"8","04C",0.0132874411563213,0.279883700205839,10,39.3662075573316,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",73.400695416905,10,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"9","05B",0.0140419215748566,0.258988501085373,11,37.6068317913884,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",71.1551147705739,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"10","05C",0.0166524254578393,0.269590187531194,12,38.4994937901265,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/No issue/No issue",69.4140975294895,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"11","06B",0.0116182679322867,0.418774209666722,8,51.060788453938,9,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots",74.6946925428385,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"12","06C",0.0144619724339358,0.335506513133277,7,44.0496484058219,7,"No issue/No issue/No issue/No issue/No issue/No issue/No issue",74.8470495961917,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"13","07B",0.0204299876694691,0.358334001825932,11,45.9717229537435,12,"No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/Roots/No issue/No issue/No issue",70.5341118722915,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"14","07C",0.0178699648386394,0.342237000846701,7,44.6163554712922,10,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/Roots/Roots",67.7208514458376,9,"No issue/No issue/No issue/No issue/No issue/No issue/Open/Open/No issue"
"15","08B",0.0115233314501457,0.318569151662157,10,42.6235225699536,10,"No issue/No issue/Open/No issue/No issue/Roots/No issue/Roots/No issue/Roots",77.5464888662209,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"16","08C",0.0118655882087024,0.314679988560079,10,42.2960550367587,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",72.5182846162981,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open"
"17","09B",0.0166395880151992,0.310917666119815,7,41.9792674872884,11,"No issue/No issue/No issue/No issue/No issue/No issue/Roots/Roots/No issue/Roots/Roots",70.1757210123699,8,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open"
"18","09C",0.0175887956189444,0.308602463141684,11,41.7843273965298,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",70.6699979501879,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/Open"
"19","10B",0.0123523278728517,0.315808468625565,10,42.3910730582725,11,"Roots/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/No issue/No issue",75.0708241311983,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/No issue/No issue"
"20","10C",0.0112807691635557,0.286309118070027,12,39.9072277414963,12,"No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/No issue/Open/Open",75.4985340219269,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"21","11B",0.0176381029883793,0.366913188021363,9,46.6940904313988,10,"No issue/No issue/Roots/No issue/No issue/Roots/Roots/Open/Roots/Roots",72.0329381121263,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/No issue"
"22","11C",0.0156719949747009,0.344807455830051,12,44.8327877808903,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/No issue/No issue/No issue",73.3551858825871,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/Open"
"23","12B",0.0138934310879761,0.345573108564897,10,44.8972557411643,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/Roots",72.9343233767794,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"24","12C",0.0206397421770859,0.34109383723805,12,44.5201010954438,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",72.3968849396188,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/No issue/No issue"
"25","13B",0.0159753948921099,0.314572534144994,11,42.2870073750085,12,"No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/No issue/No issue/Roots/No issue",71.4977954309891,11,"Open/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"26","13C",0.022710807676425,0.329143423304339,12,43.5138762422253,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",68.4508165349681,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"27","14B",0.0137985661828792,0.338370447464736,9,44.2907916765308,10,"No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/Open/Open",72.2411198477507,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"28","14C",0.0219545854444756,0.333039478140675,9,43.8419240594448,10,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue",67.6161688010994,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
