"","PlotID","EwormAbundance","EwormRichness","EwormN"
"1","01B",6,3,3
"2","01C",32.6666666666667,3,3
"3","02B",7.33333333333333,1,3
"4","02C",4.33333333333333,3,3
"5","03B",16,2,3
"6","03C",10,1,3
"7","04B",9,4,3
"8","04C",40.6666666666667,4,3
"9","05B",18.3333333333333,3,3
"10","05C",13.6666666666667,3,3
"11","06B",6.33333333333333,3,3
"12","06C",5,3,3
"13","07B",0.333333333333333,1,3
"14","07C",17,4,3
"15","08B",6.33333333333333,1,3
"16","08C",3.66666666666667,1,3
"17","09B",10.6666666666667,2,3
"18","09C",9,4,3
"19","10B",7.33333333333333,3,3
"20","10C",10.6666666666667,2,3
"21","11B",6,2,3
"22","11C",17.6666666666667,5,3
"23","12B",4.33333333333333,2,3
"24","12C",8.33333333333333,2,3
"25","13B",10,2,3
"26","13C",12.3333333333333,1,3
"27","14B",10.3333333333333,3,3
"28","14C",4.66666666666667,2,3
"29","16B",4.33333333333333,2,3
"30","16C",2.66666666666667,1,3
"31","17B",0,0,3
"32","17C",0.333333333333333,1,3
"33","18B",7.66666666666667,2,3
"34","18C",28,2,3
"35","20B",9.66666666666667,2,3
"36","20C",6.33333333333333,3,3
"37","21B",1.66666666666667,1,3
"38","21C",3,4,3
