"","PlotID","HemipteraFoliageRichness","HemipteraFoliageAbundance","HemipteraFoliageN"
"1","01B",2,1.5,2
"2","01C",2,2,2
"3","02B",3,5,2
"4","02C",1,1.5,2
"5","03B",3,9.5,2
"6","03C",2,2.5,2
"7","04B",2,3.5,2
"8","04C",2,2.5,2
"9","05B",3,2.5,2
"10","05C",2,3,2
"11","06B",3,5.5,2
"12","06C",2,2,2
"13","07B",2,2.5,2
"14","07C",2,5,2
"15","08B",3,9,2
"16","08C",1,6,2
"17","09B",2,8.5,2
"18","09C",3,10,2
"19","10B",1,3.5,2
"20","10C",1,8,2
"21","11B",3,15,2
"22","11C",2,14,2
"23","12B",2,4,2
"24","12C",1,3.5,2
"25","13B",5,28.5,2
"26","13C",3,23.5,2
"27","14B",4,8.5,2
"28","14C",1,1,2
"29","16B",1,8,2
"30","16C",1,3.5,2
"31","17B",3,7,2
"32","17C",1,0.5,2
"33","18B",2,21,2
"34","18C",2,7,2
"35","20B",2,11,2
"36","20C",1,8.5,2
"37","21B",2,3,2
"38","21C",1,5,2
