"","PlotID","HeteropteraFoliageRichness","HeteropteraFoliageAbundance","HeteropteraFoliageN"
"1","01B",0,0,2
"2","01C",0,0,2
"3","02B",4,3.5,2
"4","02C",0,0,2
"5","03B",1,1,2
"6","03C",4,2.5,2
"7","04B",3,3.5,2
"8","04C",1,0.5,2
"9","05B",2,1,2
"10","05C",0,0,2
"11","06B",3,2,2
"12","06C",5,4.5,2
"13","07B",3,1.5,2
"14","07C",4,9.5,2
"15","08B",3,6.5,2
"16","08C",4,4.5,2
"17","09B",5,6.5,2
"18","09C",4,2.5,2
"19","10B",2,1.5,2
"20","10C",4,4,2
"21","11B",3,8.5,2
"22","11C",3,9.5,2
"23","12B",2,10,2
"24","12C",2,1,2
"25","13B",8,18.5,2
"26","13C",2,3.5,2
"27","14B",3,3,2
"28","14C",1,0.5,2
"29","16B",6,6,2
"30","16C",0,0,2
"31","17B",2,1.5,2
"32","17C",2,1,2
"33","18B",2,1.5,2
"34","18C",2,2,2
"35","20B",2,1.5,2
"36","20C",3,3.5,2
"37","21B",1,1,2
"38","21C",1,1,2
