,CountryID,LandscapeID,FieldID,PlotID,VineVariety,Organic,InterRowManagement,CoverCropType,TillageFreq,MowingFreq,SprayingFreq,SprayingFreq_Herbicide,SprayingFreq_Fungicide,SprayingFreq_Insecticide,QuantityAI_kgAIha,QuantityHerbicide,QuantityFungicide,QuantityInsecticide,NoAI,NoAI_Herbicide,NoAI_Fungicide,NoAI_Insecticide
1,F,1,01B,01B,Sauvignon blanc,Organic,intermediate,spontaneous vegetation,6,3,11,0,11,3,38.681225,0,38.59748,0.083745,5,0,4,1
2,F,1,01C,01C,Merlot,Conventional,intermediate,spontaneous vegetation,5,10,17,4,10,3,22.41359974,2.78532974,19.56462,0.06365,24,3,18,3
3,F,2,02B,02B,Merlot,Organic,intermediate,spontaneous vegetation,6,3,11,0,11,3,38.681225,0,38.59748,0.083745,5,0,4,1
4,F,2,02C,02C,Merlot,Conventional,intermediate,spontaneous vegetation,7,5,10,1,9,2,18.00465,0.2475,17.73215,0.025,25,3,21,1
5,F,3,03B,03B,Merlot,Organic,intermediate,spontaneous vegetation,6,3,11,0,11,3,38.681225,0,38.59748,0.083745,5,0,4,1
6,F,3,03C,03C,Merlot,Conventional,intermediate,spontaneous vegetation,4,7,15,3,10,3,22.45442634,3.286383139,19.0445932,0.12345,21,2,16,3
7,F,4,04B,04B,Malbec,Organic,intermediate,spontaneous vegetation,6,3,11,0,11,3,38.681225,0,38.59748,0.083745,5,0,4,1
8,F,4,04C,04C,Merlot,Conventional,non-tilled,spontaneous vegetation,0,2,12,2,10,3,19.530905,0.6205,18.844405,0.066,24,4,18,2
9,F,5,05B,05B,Merlot,Organic,intermediate,spontaneous vegetation,4,6,12,0,11,1,25.78378,0,25.76518,0.0186,4,0,3,1
10,F,5,05C,05C,Merlot,Conventional,non-tilled,spontaneous vegetation,0,5,10,3,7,2,20.40259,1.9075,18.15159,0.3435,19,3,14,2
11,F,6,06B,06B,Sauvignon blanc,Organic,intermediate,spontaneous vegetation,5,2,13,0,10,3,34.6337,0,34.55,0.0837,3,0,2,1
12,F,6,06C,06C,Merlot,Conventional,non-tilled,spontaneous vegetation,0,4,10,1,7,3,14.686828,0.286235,14.327493,0.0731,19,2,15,2
13,F,7,07B,07B,Sauvignon blanc,Organic,intermediate,spontaneous vegetation,2,3,15,0,14,3,21.100452,0,21,0.100452,4,0,2,2
14,F,7,07C,07C,Sauvignon blanc,Conventional,intermediate,spontaneous vegetation,2,7,13,1,10,2,26.07044997,1.08214997,24.9733,0.015,18,2,15,1
15,F,8,08B,08B,Merlot,Organic,intermediate,spontaneous vegetation,3,2,8,0,8,0,26.93635,0,26.93635,0,3,0,3,0
16,F,8,08C,08C,Merlot,Conventional,intermediate,spontaneous vegetation,6,5,13,2,11,2,31.54263,2.025,29.42838,0.08925,18,1,15,2
17,F,9,09B,09B,Merlot,Organic,intermediate,spontaneous vegetation,3,3,16,0,16,0,55.205,0,55.205,0,3,0,3,0
18,F,9,09C,09C,Merlot,Conventional,intermediate,spontaneous vegetation,4,6,15,2,12,2,32.95445,1.49205,31.4339,0.0285,22,3,18,1
19,F,10,10B,10B,Merlot,Organic,intermediate,spontaneous vegetation,3,4,12,0,12,0,46.689,0,46.689,0,3,0,3,0
20,F,10,10C,10C,Merlot,Conventional,non-tilled,spontaneous vegetation,0,6,10,2,7,2,18.50539,1.332,17.14414,0.02925,15,1,12,2
21,F,11,11B,11B,Merlot,Organic,intermediate,spontaneous vegetation,3,1,12,0,12,0,15.1222,0,15.1222,0,4,0,4,0
22,F,11,11C,11C,Merlot,Conventional,non-tilled,spontaneous vegetation,0,4,11,1,10,0,26.53802,0.486,26.05202,0,9,1,8,0
23,F,12,12B,12B,Merlot,Organic,non-tilled,spontaneous vegetation,0,5,11,0,11,1,17.3854,0,17.3575,0.0279,5,0,4,1
24,F,12,12C,12C,Merlot,Conventional,intermediate,spontaneous vegetation,5,3,10,1,9,1,64.0434998,0.9715998,63.0569,0.015,12,1,10,1
25,F,13,13B,13B,M CS CF,Organic,intermediate,spontaneous vegetation,3,3,11,0,11,0,38.88688,0,38.88688,0,3,0,3,0
26,F,13,13C,13C,Merlot,Conventional,intermediate,spontaneous vegetation,5,3,12,0,12,1,40.19589,0,40.18164,0.01425,20,0,19,1
27,F,14,14B,14B,Merlot,Organic,intermediate,spontaneous vegetation,4,5,10,0,9,1,38.4589,0,38.431,0.0279,5,0,4,1
28,F,14,14C,14C,Merlot,Conventional,intermediate,spontaneous vegetation,4,5,13,1,10,3,27.4359,1.44,25.89615,0.09975,20,1,16,3
29,F,16,16B,16B,Merlot,Organic,NA,spontaneous vegetation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,F,16,16C,16C,Merlot,Conventional,intermediate,spontaneous vegetation,3,3,14,3,9,2,29.5816,1.47,28.0771,0.0345,17,2,13,2
31,F,17,17B,17B,Merlot,Organic,tilled,spontaneous vegetation,1,3,10,0,10,0,29.0394375,0,29.0394375,0,3,0,3,0
32,F,17,17C,17C,Cabernet Franc,Conventional,non-tilled,spontaneous vegetation,0,5,12,0,10,2,16.573935,0,16.491435,0.0825,18,0,16,2
33,F,18,18B,18B,Merlot,Organic,intermediate,spontaneous vegetation,3,2,15,0,15,0,44.1326,0,44.1326,0,4,0,4,0
34,F,18,18C,18C,Merlot,Conventional,intermediate,spontaneous vegetation,4,3,12,2,9,1,35.89911946,2.62331946,33.2383,0.0375,17,1,15,1
35,F,20,20B,20B,Merlot,Organic,intermediate,spontaneous vegetation,6,2,13,0,13,0,41.57365,0,41.57365,0,3,0,3,0
36,F,20,20C,20C,Merlot,Conventional,intermediate,spontaneous vegetation,4,1,11,1,9,1,26.72175197,1.029174965,25.679657,0.01292,16,1,14,1
37,F,21,21B,21B,Merlot,Organic,tilled,spontaneous vegetation,2,2,9,0,9,0,23.58468,0,23.58468,0,3,0,3,0
38,F,21,21C,21C,Merlot,Conventional,intermediate,spontaneous vegetation,8,0,7,0,7,1,18.4228,0,18.3928,0.03,12,0,11,1
