"","PlotID","BeeRichness","BeeAbundance","SyrphidRichness","SyrphidAbundance"
"1","01B",3,14.6666666666667,1,0.666666666666667
"2","01C",4,20,1,0.666666666666667
"3","02B",5,35,3,2
"4","02C",4,54.3333333333333,1,0.333333333333333
"5","03B",3,20.6666666666667,3,1
"6","03C",4,10,1,0.666666666666667
"7","04B",4,21.3333333333333,2,2
"8","04C",3,5.66666666666667,3,1
"9","05B",7,10,1,0.333333333333333
"10","05C",3,13,3,1.66666666666667
"11","06B",4,15,2,1.33333333333333
"12","06C",5,28.3333333333333,4,2.66666666666667
"13","07B",2,56,2,1.66666666666667
"14","07C",6,68,1,1
"15","08B",4,15.3333333333333,1,0.333333333333333
"16","08C",5,29.3333333333333,1,1.33333333333333
"17","09B",4,13,1,1
"18","09C",2,5,0,0
"19","10B",3,9,0,0
"20","10C",3,12.3333333333333,1,1.33333333333333
"21","11B",5,18.6666666666667,2,0.666666666666667
"22","11C",3,13,1,3.66666666666667
"23","12B",3,12.3333333333333,2,1.66666666666667
"24","12C",3,17.6666666666667,3,2
"25","13B",4,6,2,1.66666666666667
"26","13C",4,4.66666666666667,1,0.333333333333333
"27","14B",7,37.3333333333333,3,1
"28","14C",4,15.3333333333333,2,0.666666666666667
"29","16B",3,11.3333333333333,2,2
"30","16C",3,21,2,2
"31","17B",4,17,3,1.33333333333333
"32","17C",6,24,2,2.33333333333333
"33","18B",3,11,2,0.666666666666667
"34","18C",3,32,2,1
"35","20B",5,28.3333333333333,4,1.66666666666667
"36","20C",5,17.6666666666667,2,2
"37","21B",4,9.33333333333333,2,4.33333333333333
"38","21C",5,9.66666666666667,1,2.33333333333333
