"","PlotID","PredRatePlasticine","PredRatePlasticineSampleSize"
"1","01B",10,4
"2","01C",10,4
"3","02B",10,4
"4","02C",10,4
"5","03B",5,4
"6","03C",5,4
"7","04B",10,4
"8","04C",10,4
"9","05B",0,4
"10","05C",10,4
"11","06B",10,4
"12","06C",5,4
"13","07B",10,4
"14","07C",0,4
"15","08B",5,4
"16","08C",0,4
"17","09B",20,4
"18","09C",0,4
"19","10B",10,4
"20","10C",0,4
"21","11B",0,4
"22","11C",0,4
"23","12B",15,4
"24","12C",5,4
"25","13B",30,4
"26","13C",0,4
"27","14B",10,4
"28","14C",0,4
"29","16B",10,4
"30","16C",20,4
"31","17B",0,4
"32","17C",5,4
"33","18B",10,4
"34","18C",0,4
"35","20B",10,4
"36","20C",5,4
"37","21B",5,4
"38","21C",10,4
