"","PlotID","SoilC","SoilN","SoilCNSampleSize"
"1","01C",1.4675,0.15897,4
"2","01B",1.5825,0.1626175,4
"3","02C",2.0375,0.152145,4
"4","02B",2.1375,0.2063,4
"5","03C",1.335,0.12931,4
"6","03B",2.4225,0.21683,4
"7","04C",1.14275,0.105145,4
"8","04B",1.685,0.154735,4
"9","05C",0.998,0.10897,4
"10","05B",1.8325,0.166105,4
"11","06C",1.24,0.1168,4
"12","06B",0.873,0.101325,4
"13","07C",1.23375,0.1654375,4
"14","07B",2.5825,0.201225,4
"15","08C",0.58075,0.0717825,4
"16","08B",1.16,0.1036025,4
"17","09C",3.44,0.125315,4
"18","09B",5.585,0.161395,4
"19","10C",1.37,0.12857,4
"20","10B",0.51475,0.0685325,4
"21","11C",4.2575,0.0857225,4
"22","11B",3.7225,0.135995,4
"23","12C",1.75,0.1571775,4
"24","12B",1.28,0.12008,4
"25","13C",2.8175,0.1420575,4
"26","13B",5.8975,0.1615225,4
"27","14C",5.63,0.2423175,4
"28","14B",1.7425,0.15262,4
"29","16C",2.7775,0.158595,4
"30","16B",1.86,0.134225,4
"31","17C",5.4375,0.170345,4
"32","17B",3.7625,0.1719325,4
"33","18C",1.2125,0.12882,4
"34","18B",0.97475,0.109515,4
"35","20C",1.38,0.1224675,4
"36","20B",1.9225,0.1564775,4
"37","21C",0.92525,0.095455,4
"38","21B",0.76525,0.0755975,4
