"","PlotID","SpiderFoliageRichness","SpiderFoliageAbundance","SpiderFoliageN"
"1","01B",3,33,2
"2","01C",5,7,2
"3","02B",4,21.5,2
"4","02C",3,12.5,2
"5","03B",6,37,2
"6","03C",4,22.5,2
"7","04B",6,17.5,2
"8","04C",6,19,2
"9","05B",5,24.5,2
"10","05C",3,16,2
"11","06B",9,29,2
"12","06C",7,38,2
"13","07B",4,34.5,2
"14","07C",7,88,2
"15","08B",10,40,2
"16","08C",6,32.5,2
"17","09B",12,51,2
"18","09C",4,60.5,2
"19","10B",8,32.5,2
"20","10C",6,19.5,2
"21","11B",11,65.5,2
"22","11C",13,72.5,2
"23","12B",7,34,2
"24","12C",4,18,2
"25","13B",6,74,2
"26","13C",5,51.5,2
"27","14B",8,18,2
"28","14C",5,16.5,2
"29","16B",9,48,2
"30","16C",4,17.5,2
"31","17B",7,18.5,2
"32","17C",4,12.5,2
"33","18B",7,34,2
"34","18C",3,16.5,2
"35","20B",5,39,2
"36","20C",8,58.5,2
"37","21B",4,17.5,2
"38","21C",6,13,2
