"","PlotID","DateSurvey","PlotArea_ha","YieldTarget_hlperha","YieldRealised_hlperha","YieldMean5years_hlperha"
"1","01B",2020-02-06,0.3869,60,57,47.4
"2","02B",2020-02-06,0.23,50,47,39.8
"3","03B",2020-02-06,0.2804,50,47,39.8
"4","04B",2020-02-06,1.127,50,47,43
"5","01C",2020-03-09,0.23,54,56,43.2
"6","02C",2020-03-11,1.127,54,54,49.7
"7","03C",2020-02-06,0.25,54,54,58.8
"8","04C",2020-03-03,1.15,NA,54,NA
"9","05B",2019-12-05,0.8,45,50,37
"10","05C",2020-02-10,4.8623,65,54,65
"11","06B",2019-03-03,0.336,67,65,55.2
"12","06C",2020-03-03,0.91,60,65,61
"13","07B",2020-03-10,0.98,65,63,48.6
"14","07C",NA,0.25,68,68,68
"15","08B",2020-02-11,1,43,37,25
"16","08C",2020-02-06,1,70,70,67
"17","09B",2020-02-06,2.83,50,42,39.6
"18","09C",2020-03-10,0.5,50,50,46
"19","10B",2020-03-02,1,52,45,45
"20","10C",2020-03-02,0.3066,54,54,52
"21","11B",NA,0.5,40,34,38.8
"22","11C",2020-03-11,0.9,54,54,42.8
"23","12B",NA,1.7,47,38,31.6
"24","12C",2020-03-11,0.3,51,45,48
"25","13B",2020-03-05,8.33,45,7,11.3
"26","13C",2020-03-05,0.5864,60,45,42.75
"27","14B",NA,0.5247,60,50,34
"28","14C",2020-03-04,0.45,45,45,49
"29","16B",NA,0.9238,NA,NA,NA
"30","16C",NA,0.66,40,30,29
"31","17B",2019-12-16,1.98,22,17,23.4
"32","17C",2019-12-16,0.67,45,47,35
"33","18B",2020-03-06,2,55,60,32
"34","18C",2020-03-06,0.3,56,35,45.4
"35","20B",2020-03-10,2.38,60,40,44
"36","20C",2020-03-10,1.3,60,30,36.4
"37","21B",2020-04-24,1,43,36,35.2
"38","21C",2020-03-02,0.67,50,54,50.8
