"","Organic","landcompo","landconfig","Organic.landcompo","Organic.landconfig"
"MB_MeanScMax",0.00117606504281816,0.981962497193678,0.17331618816683,0.489544816738818,0.499758428118706
"MB_MeanZscore",0.00061289883155051,0.926092205278527,0.159794817884041,0.458064951457081,0.490162310968457
"MB_Thresh70",0.00446014480618794,0.760002090051165,0.0710282991720945,0.0822789158815216,0.0858025607533982
"BirdRichness",0.09666095904203,0.273366850201754,0.696738377815713,0.305933268201318,0.154224135328294
"ButtRichness",0.0504921921864543,0.0268787124330485,0.428593539257622,0.120852453611748,0.520973623130864
"EwormRichness",0.0654540745291711,0.377528905651072,0.505942505499538,0.160398984646558,0.006140694674724
"MicrobeRichness",0.280198590705324,0.0915944012410221,0.229269047691941,0.868970162070179,0.571517080195945
"PlantRichness",0.230710226970187,0.402990608287557,0.187270203989955,0.0837251328843217,0.0911900813963569
"BeeRichness",0.705837171923534,0.545889045774463,0.670427255369981,0.898509235121695,0.322014416381901
"SyrphidRichness",0.200645962184938,0.0190900607934994,0.869386401916477,0.316788585194794,0.191862458205162
"SpiderRichness",0.000327158322736464,0.944654745997906,0.0723633893173724,0.39842486356002,0.68614096768908
"CarabRichness",0.0409093484437297,0.622937450524562,0.570543936744742,0.0741623487550415,0.447848514342935
"CollemboRichness",0.202039588948717,0.242671643386944,0.406272365811332,0.963161370852732,0.354888984211223
"SpiderFoliageRichness",0.009515402355878,0.785692848478597,0.281144679547114,0.0445703805756655,0.314877939992184
"ColeopteraFoliageRichness",0.0120451765474481,0.547763979853083,0.35000051530717,0.0303309133713431,0.00208135396598394
"HemipteraFoliageRichness",0.000831602583560697,0.676775591564039,0.461237968623756,0.917617514112833,0.910826313862219
"HeteropteraFoliageRichness",0.182530190477196,0.451548145738836,0.835515939813354,0.694607602317921,0.112014556935631
"MA_MeanScMax",0.125084937679171,0.914846765603943,0.138013186878957,0.998663997699067,0.745725813897888
"MA_MeanZscore",0.0876399453816742,0.739014357102642,0.13865944050324,0.97349505381374,0.796244606805467
"MA_Thresh70",0.10865079845198,0.301154158217058,0.0701763831260434,0.834273173680035,0.387261573740096
"BirdAbundance",0.460175991270121,0.0497146011498656,0.795023430040842,0.267660813656776,0.265260205282892
"ButtAbundance",0.080798231025941,0.0123870287870853,0.518706534703226,0.582195534062075,0.378654366699985
"EwormAbundance",0.0604469873730662,0.206939037354704,0.171246210274568,0.679637683133954,0.76937548661276
"MicrobeAbundance",0.00264794967161786,0.111414610207743,0.653506435933203,0.604547963482215,0.85825207941262
"BeeAbundance",0.741976668341998,0.917033954434962,0.963456496375636,0.28371321047182,0.372649561250264
"SyrphidAbundance",0.979196444509895,0.000830537043058161,0.869694322686468,0.865887578351026,0.695739116316726
"SpiderAbundance",0.000810679136051252,0.430050688803656,0.422587329711675,0.326345898431856,0.0178970527534803
"CarabAbundance",0.197053410796069,0.612021445390259,0.663764394584965,0.727005947469801,0.865629250663163
"CollemboAbundance",0.346772805111737,0.779932745070713,0.590694565791712,0.833441373997792,0.213396940909126
"SpiderFoliageAbundance",0.281766675146532,0.991021817731585,0.409462270750495,0.407353592276974,0.116851303949845
"ColeopteraFoliageAbundance",0.126435023112881,0.779077568491586,0.114892862830867,0.893331884651199,0.20249361216693
"HemipteraFoliageAbundance",0.024923535884986,0.639070619352846,0.356516955591011,0.557004742251261,0.671937712256183
"HeteropteraFoliageAbundance",0.168779101318166,0.515668140219244,0.971032990966661,0.9254643066711,0.967988633512983
"PlantCover",0.439795983820738,0.0979477082386006,0.774256309509781,0.786868756727232,0.799242838458005
"EMF_Production",0.00679475871104696,0.358650995213579,0.822810598598541,0.198772834002352,0.860321974635386
"EMF_Soil",0.316727838598049,0.42194270601397,0.926698224004505,0.75908193208961,0.464715287789757
"EMF_Regulation",0.00567471422784196,0.741102884479058,0.812673196287525,0.0123308617648116,0.379962935563844
"EMF_MeanScMax",0.658057251398316,0.67029950677212,0.745812360302307,0.998688556934917,0.863029908677612
"EMF_MeanZscore",0.758508040822153,0.593695825067632,0.592968299609976,0.96943016614823,0.922984498683813
"EMF_Thresh70",0.127371240577289,0.187371808061128,0.0728746400484375,0.990023389509212,0.954650106968549
"YieldRealised_hlperha",0.0401241286659358,0.332308668227483,0.888226741346617,0.523489200441539,0.870666374746447
"Ntester",0.0086898863624455,0.697561864255861,0.171124806060862,0.0139057453983292,0.795541638126953
"SoilC",0.784174047342419,0.700280459164465,0.976286310793447,0.359149808885929,0.54812190297332
"SoilN",0.340574091933016,0.564434906934842,0.99929374296216,0.71590221912079,0.204148985902839
"DecompokRate",0.112676791883757,0.962847436869103,0.112746608002577,0.63867663367257,0.468433101739681
"DecompoSfactor",0.0141739628634061,0.955549365156865,0.0030417149136665,0.622781487294367,0.533473212968345
"SoilPhosphatase",0.984517951574814,0.319107246919972,0.557687938956261,0.9188399987125,0.52504927817622
"SoilGlucosidase",0.0193465447436104,0.629877693361419,0.133844282833098,0.464841621810299,0.219708916188127
"SoilUrease",0.4596481408695,0.0334029734807837,0.329335656855305,0.123730543382716,0.466864698852469
"PredRateEggs",4.66536142575241e-08,0.11663023199544,0.992875093558244,0.625162352237591,0.304961321443122
"PredRatePupae",0.469589323193755,0.933769657708741,0.878396998977705,0.356037798881509,0.193264699031019
"PredRatePlasticine",0.0223557326493645,0.834025441405122,0.814579105271456,0.00789327044168552,0.665132975464411
"PathogenDamage",0.000148836019548162,0.74390429242028,0.921300668500197,0.557390825830089,0.622276406387208
"PestDamage",0.262242385085486,0.0607147993040466,0.86237098681433,0.61816901733745,0.983355693216343
