"","X.x","CountryID","LandscapeID","FieldID","PlotID","VineVariety","Organic","InterRowManagement","CoverCropType","TillageFreq","MowingFreq","SprayingFreq","SprayingFreq_Herbicide","SprayingFreq_Fungicide","SprayingFreq_Insecticide","QuantityAI_kgAIha","QuantityHerbicide","QuantityFungicide","QuantityInsecticide","NoAI","NoAI_Herbicide","NoAI_Fungicide","NoAI_Insecticide","X.y","Crops","Grasslands","Forests","Vineyards","GrassStrips","HedgeRows","SoftPaths","Artificial","Water","Others","SemiNatural","SemiNatural_Wstrips","Agriculture","Dist.snh","Dist.snh_Wstrips","MPS_Crops","MPS_Grasslands","MPS_Forests","MPS_Vineyards","MPS_GrassStrips","MPS_HedgeRows","MPS_SoftPaths","MPS_Artificial","MPS_Water","MPS_Others","MPS_SemiNatural","MPS_Agriculture","MPS_Landscape","SDPS_Landscape","CVPS_Landscape","SDPS_Crops","SDPS_Grasslands","SDPS_Forests","SDPS_Vineyards","SDPS_GrassStrips","SDPS_HedgeRows","SDPS_SoftPaths","SDPS_Artificial","SDPS_Water","SDPS_Others","SDPS_SemiNatural","SDPS_Agriculture","Edge","Dist.forest","Dist.water","Dist.natgrassld","Dist.softpath","Dist.hedgerow","Dist.grassstrip","Total","BirdRichness","BirdAbundance","BirdN","ButtRichness","ButtAbundance","ButtN","EwormAbundance","EwormRichness","EwormN","MicrobeN","MicrobeRichness","MicrobeAbundance","PlantRichness","PlantCover","PlantN","BeeRichness","BeeAbundance","SyrphidRichness","SyrphidAbundance","SpiderRichness","SpiderAbundance","SpiderN","CarabN","CarabRichness","CarabAbundance","CollemboAbundance","CollemboRichness","SpiderFoliageRichness","SpiderFoliageAbundance","SpiderFoliageN","ColeopteraFoliageRichness","ColeopteraFoliageAbundance","ColeopteraFoliageN","HemipteraFoliageRichness","HemipteraFoliageAbundance","HemipteraFoliageN","HeteropteraFoliageRichness","HeteropteraFoliageAbundance","HeteropteraFoliageN","MB_MeanScMax","MB_MeanZscore","MB_Thresh70","MB_N","MA_MeanScMax","MA_MeanZscore","MA_Thresh70","MA_N","DateSurvey","PlotArea_ha","YieldTarget_hlperha","YieldRealised_hlperha","YieldMean5years_hlperha","Ntester","Date","PhenologicalStage","SoilC","SoilN","SoilCNSampleSize","DecompokRate","DecompoSfactor","DecompokSampleSize","DecompoGTPercentMassRemaining","DecompoGTSampleSize","DecompoGTComment","DecompoRPercentMassRemaining","DecompoRSampleSize","DecompoRComment","SoilPhosphatase","SoilGlucosidase","SoilUrease","PredRateEggs","PredRateEggsSampleSize","PredRatePupae","PredRatePupaeSampleSize","PredRatePlasticine","PredRatePlasticineSampleSize","PathogenDamage","PathogenDamage_Leave","PathogenDamage_Grape","PathogenLackOf","PathogenLackOf_Leave","PathogenLackOf_Grape","PathogenSampleSize_Leave","PathogenSampleSize_Grape","PestDamage","PestLackOf","PestSampleSize","EMF_Production","EMF_Soil","EMF_Regulation","EMF_N","EMF_MeanScMax","EMF_MeanZscore","EMF_Thresh70"
"1",1,FALSE,1,"01B","01B","Sauvignon blanc","Organic","intermediate","spontaneous vegetation",6,3,11,0,11,3,38.681225,0,38.59748,0.083745,5,0,4,1,1,5.0442448832479,24.2414090948449,8.94811526815894,42.0296838604729,5.1035482424457,0.70487119538353,0.123660653411165,5.85598730382554,0,5.87471152233709,29.842723856753,34.9462720991987,57.0003119676922,139.386503568415,77.8686912923005,13094.3913407009,13687.5720813237,17421.357278683,7865.66259666387,1589.80048255788,322.902383541113,481.517360880971,3257.48556242749,0,45750.6168719204,10757.5826545957,20621.8290242744,10844.0595253819,13185.205545307,1.2158920295896,5883.44866877467,11223.0422452458,19761.0228749202,5727.42987684662,1022.8108354929,270.303203946072,0,2289.03388202905,0,0,13792.2914082396,5033.10622045671,0.0387273272619841,139.386503568415,10142.6581660777,181.909226399973,188.356916705549,198.268960583263,77.8686912923005,778772.143925117,11,7,2,2,2,4,6,3,3,4,1933.5,27199.25,23,85,8,3,14.6666666666667,1,0.666666666666667,12,63.5,4,8,4,1.125,5,4,3,33,2,5,3,2,2,1.5,2,0,0,2,0.411913969745574,-0.428850124881493,0.0714285714285714,14,0.307040577814823,-0.185574047540693,0.142857142857143,14,"2020-02-06",0.3869,60,57,47.4,31.7779,"2019.07.31",33,1.5825,0.1626175,4,0.0174723343487724,0.293884603061331,12,40.5450835777641,12,"No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/Open/Roots/Open/Roots",70.7312603930816,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/Open/No issue",417.295049249993,246.220219007251,24.2466047181503,32.5708296008086,20,70.5263157894737,17,10,4,0.06,0.0833333333333333,0.025,0.94,0.916666666666667,0.975,300,200,0,1,100,0.778553563080211,0.486422404099961,0.733483347319041,14,0.752788102679209,0.343216487635192,0.666666666666667
"2",2,FALSE,1,"01C","01C","Merlot","Conventional","intermediate","spontaneous vegetation",5,10,17,4,10,3,22.41359974,2.78532974,19.56462,0.06365,24,3,18,3,2,2.13915774282692,40.0395082652284,9.52804595048508,29.9559778101927,3.78701803453546,0.911497039315239,0.0816706414311501,7.61815534290538,0,3.47681695730873,32.2313349886842,36.0183530232197,53.8196687766728,37.7584003927436,37.7584003927436,8338.1727416811,32958.7903955606,14855.6586427012,6967.70306939518,1341.93897123136,373.989779896789,318.342075735331,3775.7094002404,0,27104.4063753197,10744.6687006459,28384.406748273,13426.5090509939,20186.02850823,1.50344579008315,2808.77994785324,23406.2632314933,13749.5881823353,5075.55190751577,1082.90607248327,245.551595727575,0,3464.84989390376,0,0,13044.895081768,19889.8378818739,0.0346663920126798,139.152183904427,9994.98641925237,44.0760335015698,351.093403295683,37.7584003927436,47.405176466907,779575.304312257,8,8,2,4,3.5,4,32.6666666666667,3,3,4,1989.5,25710.5,39,98.375,8,4,20,1,0.666666666666667,11,5.5,4,8,5,1.75,2,1,5,7,2,3,2.5,2,2,2,2,0,0,2,0.431811910100445,-0.261088894426579,0.0714285714285714,14,0.312573331298296,-0.140586217740034,0.142857142857143,14,"2020-03-09",0.23,54,56,43.2,37.351,"2019.07.31",33,1.4675,0.15897,4,0.0140239085981255,0.309038683543308,9,41.8210571543465,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",71.3686334958466,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/Roots/No issue/Roots",515.706114819029,161.416228788558,31.3355021148499,36.7480471715902,20,46.6666666666667,12,10,4,0.006,0.00333333333333333,0.01,0.994,0.996666666666667,0.99,300,200,0,1,100,0.836547452080411,0.458936388258228,0.68981918435299,14,0.743457539737922,0.268924631631819,0.666666666666667
"3",3,FALSE,2,"02B","02B","Merlot","Organic","intermediate","spontaneous vegetation",6,3,11,0,11,3,38.681225,0,38.59748,0.083745,5,0,4,1,3,14.7467595752233,0.0885672792872119,24.0916685603243,47.7525918488335,6.58175569344341,0.445493181077751,0.443500588031433,4.85882136368341,0,0,24.6257290206893,31.2074847141327,62.4993514240568,27.9472277354674,24.9816815802095,28793.6823051715,691.725687781349,62720.0253442313,8564.69834165628,2056.18576995774,217.461149000912,577.302648254981,4487.3607683097,0,0,21209.7373936712,18679.1903234139,11770.6142038073,21204.6751096004,1.80149266150798,27372.2212393596,0,88671.8278709538,7055.98538353517,1720.41483816316,54.6381773436406,589.429505953776,3813.59008908068,0,0,62713.6480268224,19987.8141039623,0.0346514896660079,134.974042182817,10881.3135000453,464.603064414613,197.06566780047,27.9472277354674,24.9816815802095,781017.203360368,10,9.5,2,6,1.75,4,7.33333333333333,1,3,4,1703.5,22536.75,35,82.5,8,5,35,3,2,10,5.25,4,8,7,3.625,17,8,4,21.5,2,4,4.5,2,3,5,2,4,3.5,2,0.565755534265913,0.330181401076583,0.357142857142857,14,0.356029726643389,0.0421018449486408,0.0714285714285714,14,"2020-02-06",0.23,50,47,39.8,37.778,"2019.08.02",33,2.1375,0.2063,4,0.0120886011184395,0.314051971272088,10,42.2431759811098,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/Roots/Roots",73.1619592483813,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",1252.46063760778,180.896697251072,54.2831864419954,44.2311294989387,19,46.6666666666667,11,10,4,0.04,0.06,0.01,0.96,0.94,0.99,300,200,0,1,100,0.777252387631069,0.604928965607068,0.702648409055168,14,0.797989595531398,0.590097472785152,1
"4",4,FALSE,2,"02C","02C","Merlot","Conventional","intermediate","spontaneous vegetation",7,5,10,1,9,2,18.00465,0.2475,17.73215,0.025,25,3,21,1,4,9.88654849041513,0.430638323042935,30.3693030021309,47.2593894184967,6.70219061469022,0.389233221506898,0.454778230307266,4.16133926369682,0,0,31.1891745466807,37.8913651613709,57.1459379089118,21.0500356161946,16.9099569565667,25801.9068208896,3371.63871560339,237773.352460473,8077.88296455084,2098.96464357077,190.466356686287,593.439941852974,3831.81568181746,0,0,80445.1525109209,16939.8948927202,31061.017373829,77943.5904876281,2.50937017128425,19011.4058506669,0,0,7221.2048603527,1569.27150443324,58.3926203457827,576.715462324104,4747.35094394803,0,0,1672.90868765175,14380.1834490029,0.0338460215758008,103.595903339322,10970.2474784676,458.61971324691,298.576300959925,21.0500356161946,16.9099569565667,782939.77456048,12,9.5,2,2,0.5,4,4.33333333333333,3,3,4,720.75,17715.75,28,66.875,8,4,54.3333333333333,1,0.333333333333333,9,6.5,4,8,5,3.25,2,2,3,12.5,2,5,6.5,2,1,1.5,2,0,0,2,0.37302457133731,-0.588295674638279,0.0714285714285714,14,0.259479922922958,-0.442578691819888,0.0714285714285714,14,"2020-03-11",1.127,54,54,49.7,42.6959,"2019.07.31",33,2.0375,0.152145,4,0.0140478574974028,0.30162940207726,9,41.1971956549053,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",66.1537736690354,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",209.690809588786,150.313171986923,60.0635432402513,38.9280700881643,20,50,14,10,4,0.016,0.0166666666666667,0.015,0.984,0.983333333333333,0.985,300,200,0,1,100,0.884731349762907,0.456695620187517,0.702677489798318,14,0.763022784164007,0.465314984243332,0.666666666666667
"5",5,FALSE,3,"03B","03B","Merlot","Organic","intermediate","spontaneous vegetation",6,3,11,0,11,3,38.681225,0,38.59748,0.083745,5,0,4,1,5,0,7.86110820085373,10.8833547587947,61.0533168744334,8.28373960918048,0.675197968658941,0.654849590292142,8.01424121795884,0,0,19.4196609283074,27.7034005374879,61.0533168744334,224.223297913211,99.4526918950574,0,7668.6494839334,42467.61689169,11731.9037057578,3078.4509963006,277.333687853963,511.053845777363,6854.40619107165,0,0,16804.5333544925,11731.9037057578,9722.45221611495,13930.6744924167,1.43283548046928,0,4904.3818860446,57084.091783473,14711.2421646101,3033.92897616221,76.0693341513579,220.679108520635,15973.6292206312,0,0,33125.5475792379,14711.2421646101,0.0320416853918683,224.223297913211,10762.615767994,232.84261259306,158.638814566505,228.253675345227,99.4526918950574,780414.087988314,10,9,2,2,1,4,16,2,3,4,543.75,32419.5,27,96,8,3,20.6666666666667,3,1,12,12.25,4,8,1,0.375,1,1,6,37,2,6,8.5,2,3,9.5,2,1,1,2,0.408013949243594,-0.413652808508832,0.142857142857143,14,0.337407363024359,-0.00361255916600482,0.142857142857143,14,"2020-02-06",0.2804,50,47,39.8,36.1171,"2019.08.01",33,2.4225,0.21683,4,0.0163606650477096,0.254188673880458,11,37.2026863407346,12,"No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/Open/Open/No issue/Roots",69.668962668321,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",406.112946707836,376.497915122101,144.332306340373,46.1930812997308,19,19,6,5,4,0.026,0.00333333333333333,0.06,0.974,0.996666666666667,0.94,300,200,0,1,100,0.757840279169171,0.673062411608964,0.60140134858146,14,0.788044870990952,0.344115181135012,0.666666666666667
"6",6,FALSE,3,"03C","03C","Merlot","Conventional","intermediate","spontaneous vegetation",4,7,15,3,10,3,22.45442634,3.286383139,19.0445932,0.12345,21,2,16,3,6,0,0.783414801783664,8.00175065762444,70.5001741044927,11.5852721614897,0.307567485078458,0.836400049788205,6.34470711385936,0,0,9.09273294448656,20.6780051059763,70.5001741044927,160.059598649155,27.8649002112243,0,2040.95894289079,62538.6877792384,9096.63123379211,3482.54424632855,240.383232912155,726.332188074969,4010.34864072186,0,0,21606.6766516804,9096.63123379211,10257.896815795,21313.0821861318,2.07772436873356,0,1945.3484816534,0,12217.3248751842,3490.45896135962,204.196162906528,495.863325455764,2308.11229110886,0,0,2850.89994444602,12217.3248751842,0.0390453316589046,231.132581457459,10789.1938086383,344.853631977233,39.8467720606332,160.059598649155,27.8649002112243,781562.566182298,9,10.5,2,3,1.5,4,10,1,3,4,933.75,23267.25,26,68.125,8,4,10,1,0.666666666666667,8,3.5,4,8,5,2,0,0,4,22.5,2,2,1.5,2,2,2.5,2,4,2.5,2,0.361686305909597,-0.637454774450155,0,14,0.23813535037068,-0.497022508339394,0,14,"2020-02-06",0.25,54,54,58.8,35.277,"2019.07.31",33,1.335,0.12931,4,0.0133345326982481,0.27868078060022,11,39.2649217265386,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open",73.9675912284075,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",280.171451591582,128.001510350355,51.394600366686,37.2750681813742,20,37.8947368421053,11,5,4,0.01,0.0166666666666667,0,0.99,0.983333333333333,1,300,200,0.05,0.95,100,0.798021438589461,0.406974539060262,0.623016238934419,14,0.682031376269252,-0.279474346471462,0.333333333333333
"7",7,FALSE,4,"04B","04B","Malbec","Organic","intermediate","spontaneous vegetation",6,3,11,0,11,3,38.681225,0,38.59748,0.083745,5,0,4,1,7,0,0.686973664988598,5.67585607362069,75.4368946402893,9.10347711272641,0.249675671974998,0.51346660379468,7.27830541595708,0,0.758051988571728,6.61250541058429,15.7159825233107,76.194946628861,242.75796063639,29.4681916611084,0,2670.56066616195,44128.9637420364,9465.51864099291,2022.23496570748,194.119240039587,499.016114214726,5787.93857870454,0,2946.87253203383,15664.547882746,6206.19558651337,7109.93113667205,14161.8121385303,1.99183534499872,0,3720.61631312986,0,7622.15204367173,1580.34634636575,72.9090572500797,446.304455490741,4433.34915530188,0,1424.70952821645,2876.19398873056,5483.01919642089,0.040778698601886,242.75796063639,11127.2806613706,285.146320812112,217.553525630581,318.923463174307,29.4681916611084,777485.601636935,9,5.5,2,2,1,4,9,4,3,4,1261,23124.75,25,97,8,4,21.3333333333333,2,2,9,7.25,4,6,2,1,5,3,6,17.5,2,4,2.5,2,2,3.5,2,3,3.5,2,0.439230507696196,-0.294869339207026,0.0714285714285714,14,0.278940420690972,-0.326024536908616,0.0714285714285714,14,"2020-02-06",1.127,50,47,43,31.1172,"2019.08.02",33,1.685,0.154735,4,0.00976484364701556,0.255462557139337,11,37.3099473111322,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/Roots/Roots/No issue",75.4827728893284,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/No issue",449.656939261525,349.685038221501,58.620146410454,41.7644452833053,20,28,11,10,4,0.046,0.0466666666666667,0.045,0.954,0.953333333333333,0.955,300,200,0.01,0.99,100,0.699402925265478,0.489992151260735,0.641795138140298,14,0.695492252090152,-0.25748408253065,0.333333333333333
"8",8,FALSE,4,"04C","04C","Merlot","Conventional","non-tilled","spontaneous vegetation",0,2,12,2,10,3,19.530905,0.6205,18.844405,0.066,24,4,18,2,8,0,1.07216166153355,2.51184482691553,79.1429462732246,8.86747236928701,0.270830062390671,0.494308499972704,7.17659668307898,0,0.127841483990861,3.85483655083975,12.7223089201268,79.2707877572155,179.137491432374,41.8891965171254,0,4159.43736328115,19489.3393387953,10599.2508224522,2023.60264116929,210.136348094419,767.065384835005,5689.11333668232,0,991.918782711029,7952.97101672362,5795.58480258161,4455.62282119288,6503.86350971223,1.45969795261327,0,1615.02669536264,0,9027.56470730801,1608.60393054575,109.241378157542,505.262416775184,4305.44462091558,0,0,1652.74644465031,9027.56470730801,0.0406237874887235,340.680258756187,11219.5417978354,179.137491432374,194.05505474,288.874536792182,41.8891965171254,775897.425269202,9,9.5,2,4,2.25,4,40.6666666666667,4,3,4,1526,21344.75,28,96.75,8,3,5.66666666666667,3,1,6,2.75,4,8,1,0.25,18,5,6,19,2,0,0,2,2,2.5,2,1,0.5,2,0.430439082688597,-0.347149198946354,0.142857142857143,14,0.316698776569259,-0.143174057767103,0.142857142857143,14,"2020-03-03",1.15,NA,54,NA,35.6705,"2019.08.02",33,1.14275,0.105145,4,0.0132874411563213,0.279883700205839,10,39.3662075573316,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",73.400695416905,10,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",755.89658742565,123.807141122202,33.9397947214519,29.3678205787613,20,50,14,10,4,0.014,0.0233333333333333,0,0.986,0.976666666666667,1,300,200,0,1,100,0.802620550323916,0.423970391469483,0.677999550304973,14,0.711242360787825,0.00492882758365747,0.666666666666667
"9",9,FALSE,5,"05B","05B","Merlot","Organic","intermediate","spontaneous vegetation",4,6,12,0,11,1,25.78378,0,25.76518,0.0186,4,0,3,1,9,0,3.08522633587622,25.008693065631,56.864918176637,8.10266167860699,0.149737786487561,0.0639603357931246,5.97245600059574,0,0.600585539109029,28.2436571879948,36.3463188666018,57.465503715746,166.568992680496,15.7298126111493,0,11998.9144616909,32420.8703268407,7548.38966219905,3939.06045332387,194.117675242014,248.7514738217,3420.47270842279,0,4671.53701295704,14871.3008212579,6109.96333757804,6982.90675087549,10325.0774816017,1.47862170439369,0,10008.0863914773,39644.9570367697,6598.14165969054,4416.63161980112,84.8904810572336,0,4370.30744343761,0,0,23744.4607780804,6598.14165969054,0.0424231427973466,166.568992680496,9611.17234049049,184.575480018211,470.048755788116,349.283115296379,15.7298126111493,777830.418609026,6,7.5,2,4,2.75,4,18.3333333333333,3,3,4,1730.5,20895.75,37,86.125,8,7,10,1,0.333333333333333,15,37.25,4,6,3,3.83333333333333,20,11,5,24.5,2,9,11,2,3,2.5,2,2,1,2,0.575149510688093,0.414421416339897,0.285714285714286,14,0.373701236911677,0.0866973501644347,0.0714285714285714,14,"2019-12-05",0.8,45,50,37,36.321,"2019.07.31",33,1.8325,0.166105,4,0.0140419215748566,0.258988501085373,11,37.6068317913884,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",71.1551147705739,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",704.460318769767,249.222014976037,6.52336842337422,43.928298464428,20,24.2105263157895,9,0,4,0.016,0.0133333333333333,0.02,0.984,0.986666666666667,0.98,300,200,0,1,100,0.781651973552394,0.477123259214006,0.578414084020303,14,0.69421445809625,-0.286522207436055,0.333333333333333
"10",10,FALSE,5,"05C","05C","Merlot","Conventional","non-tilled","spontaneous vegetation",0,5,10,3,7,2,20.40259,1.9075,18.15159,0.3435,19,3,14,2,10,0,3.08979148025658,15.0852416804443,64.0112517879388,9.37907118550511,0.150713606433184,0.131688972823153,8.02886559678721,0,0,18.3257467671341,27.7048179526392,64.0112517879388,48.8520451802114,19.1854555104669,0,11998.9144616909,16737.7475807207,7908.42808869086,4552.84254633749,146.320527077653,511.401733919512,3897.41800279443,0,0,9627.66085649642,7908.42808869086,5450.79269534493,6231.69326681435,1.14326367101363,0,10008.0863914773,20759.1954135668,6619.91175602398,4510.75015968102,48.577320398381,0,4302.30987637842,0,0,13557.96462351,6619.91175602398,0.0437729444277077,151.220753615537,9588.37148711056,48.8520451802114,357.317823028679,350.127486339047,19.1854555104669,776681.17983771,8,6,2,4,2.5,4,13.6666666666667,3,3,4,2028.25,24547.5,33,91.5,8,3,13,3,1.66666666666667,9,13.25,4,7,6,1.57142857142857,16,8,3,16,2,5,5,2,2,3,2,0,0,2,0.493225577744779,-0.0664434607138212,0.285714285714286,14,0.313401377552527,-0.159581630705894,0.0714285714285714,14,"2020-02-10",4.8623,65,54,65,34.429,"2019.07.31",33,0.998,0.10897,4,0.0166524254578393,0.269590187531194,12,38.4994937901265,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/No issue/No issue",69.4140975294895,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",731.83266442922,68.3690106916587,10.1922007312386,26.4836199302644,20,23.3333333333333,6,10,4,0.004,0,0.01,0.996,1,0.99,300,200,0,1,100,0.788110265143926,0.398259313615402,0.599315588555078,14,0.66613350702549,-0.431578753625788,0.333333333333333
