"","Organic, Estimate","SE","Landscape compo., Estimate","SE","Landscape config., Estimate","SE","Org:Landscape compo., Estimate","SE","Org:Landscape config., Estimate","SE","sigma","N","Marginal R2","Conditional R2"
"MB_MeanScMax",0.115719864942264,0.0530876694992925,0.000555681432106583,0.00114543092630988,-0.00011369288816893,0.000369221042011063,-0.000948347112983587,0.00137236158436307,-0.000285435649176406,0.000422949150451259,0.0647676954189937,38,0.209880493641043,0.388335121449033
"MB_MeanZscore",0.597796931180907,0.260573250939723,0.0032075389547728,0.00560151175298772,-0.000580387257701716,0.00180695630496766,-0.00499956263450632,0.00673761955642089,-0.0014315549318249,0.0020745648878333,0.318043278026004,38,0.229548087840582,0.398323702100264
"MB_Thresh70",0.264194993349805,0.0795129250864158,0.00164072227414558,0.00168749439719819,0.000138943739854537,0.000545694990518863,-0.00357549871809681,0.0020577064133492,-0.0010848801228717,0.000631490515861388,0.0972047907464718,38,0.261901816593475,0.405765077624143
"BirdRichness",0.702505282477134,0.3156613057524,-0.00117378369232797,0.0071584179781874,0.00308464390724065,0.00228030145557341,-0.00833095311207917,0.00813734489610985,-0.00361348838851007,0.00253619337406714,0.383072707837576,38,0.138613967882041,0.407446375058603
"ButtRichness",0.365315815642703,1.22022174147588,0.0137930930302549,0.0258072078399484,0.00020690699704174,0.00835060203038884,0.0489956314689788,0.0315855202078885,-0.00621585669715905,0.00968435313623028,1.49239263320364,38,0.247751245223448,0.389374914845648
"EwormRichness",-2.4788241967845,0.730686054358267,-0.0260354118091435,0.0164014543519,-0.00900378832055217,0.00523868463874986,0.0264547047896913,0.0188459939038648,0.0160606899782625,0.0058611966943235,0.887616280852294,38,0.221818048556524,0.451524672942352
"MicrobeRichness",317.724341511836,346.409531684109,-12.3512833482236,9.52696770478248,-1.05506148317054,2.83171401560617,-1.46372254001418,8.87283432035481,-1.61301203880494,2.85075809026561,414.830209026709,38,0.12733212644352,0.622619895525765
"PlantRichness",12.7625648291394,4.86588768841668,0.177018430462958,0.0966359124276629,0.0184593619582624,0.0315101604974736,-0.218963518885686,0.12660734503362,-0.0642985259769153,0.0380655391456459,6.0092170236947,38,0.192921724735105,0.238698785150539
"BeeRichness",-0.417490629221979,1.02219340237812,-0.00612933864294729,0.0198151402432123,-0.00681116680584615,0.00646598990662835,-0.00340084754392183,0.0266639497677605,0.00786507684151542,0.00794190051573146,1.2683877371362,38,0.0405866809496145,NA
"SyrphidRichness",1.39096146803331,0.705151719988654,-0.0132024375789669,0.0142889203598967,0.00532625411776977,0.00465154196471737,-0.0183335015717832,0.0183137398509941,-0.00723596986635337,0.00554442529979078,0.867827861569117,38,0.208564530536376,0.288608991690262
"SpiderRichness",4.25879791295799,2.49851339192277,0.0281029493366118,0.053315320101449,-0.0244778861230685,0.0172234453593553,-0.0545802362108849,0.0646350065598111,0.00802706945519114,0.0198641861261241,3.05233331758562,38,0.260540391743858,0.412320955178938
"CarabRichness",0.224301962157687,0.315871283336463,0.0052079721532815,0.00905284159339051,0.000493442340738925,0.00264117980617628,-0.0144355444068228,0.00808437481939015,-0.00198106061243575,0.00261006979491616,0.377522078547792,38,0.102261850353891,0.649468088822934
"CollemboRichness",2.359018622651,2.03762654416657,0.0364247918931835,0.0415030553275914,0.00374385053003899,0.0141588413121333,-0.00234212829889347,0.050709916643855,-0.0150241029115354,0.0162396769709562,2.39301008226055,37,0.107999435061849,0.276754437297364
"SpiderFoliageRichness",-1.20561739641783,1.52582492451531,-0.0381252297770988,0.0379457799196745,-0.0171861651208688,0.0117409837517193,0.0787127974523034,0.0391862012762933,0.0124790350419949,0.01241646509917,1.8379465508877,38,0.171289734990875,0.54247695980029
"ColeopteraFoliageRichness",0.0567140267444475,0.228924198853074,0.01148056837747,0.00688360761317396,-0.00324098277460286,0.00196249801881376,-0.0126801592695854,0.00585488008606848,0.00584919116641237,0.00190009279569836,0.273049739834227,38,0.223827685194405,0.731429440479783
"HemipteraFoliageRichness",0.758287449764979,0.616500021345986,0.00327620050674736,0.0135667469981551,0.00161251290070907,0.00435429176658636,0.00164649885998208,0.0159181556245189,0.000552024260618121,0.0049289494059383,0.75045475317198,38,0.225274973775175,0.427672742810347
"HeteropteraFoliageRichness",0.817385261699849,0.450802467182758,0.00708361053429842,0.0088604628946805,0.00337029545075954,0.00289058021833513,-0.00460993518580326,0.0117417691273716,-0.00558865254557157,0.00351663843531589,0.557813884936848,38,0.118275013267746,0.147254416710416
"MA_MeanScMax",0.0241032259446502,0.0572831984164585,-8.0831269157632e-05,0.00111043038192298,-0.000407730581838332,0.00036235078598482,2.50199256845316e-06,0.00149423418460698,0.000144324222843259,0.000445060065921001,0.0710798037302328,38,0.096158138981437,NA
"MA_MeanZscore",0.145720891367651,0.262039798138558,-0.00100696512156527,0.00507962127063099,-0.00177364740719824,0.00165755979832874,-0.000227104337127557,0.00683531707254751,0.000525692998221448,0.00203591023297268,0.325151840960176,38,0.105941756628703,NA
